Division,Group,Class,Description,,,,,
Division 01,11,110,Growing of non-perennial crops,,,,,
Division 01,11,111,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,
Division 01,11,112,Growing of rice,,,,,
Division 01,11,113,"Growing of vegetables and melons, roots and tubers",,,,,
Division 01,11,114,Growing of sugar cane,,,,,
Division 01,11,115,Growing of tobacco,,,,,
Division 01,11,116,Growing of fibre crops,,,,,
Division 01,11,119,Growing of other non-perennial crops,,,,,
Division 01,12,120,Growing of perennial crops,,,,,
Division 01,12,121,Growing of grapes,,,,,
Division 01,12,122,Growing of tropical and subtropical fruits,,,,,
Division 01,12,123,Growing of citrus fruits,,,,,
Division 01,12,124,Growing of pome fruits and stone fruits,,,,,
Division 01,12,125,Growing of other tree and bush fruits and nuts,,,,,
Division 01,12,126,Growing of oleaginous fruits,,,,,
Division 01,12,127,Growing of beverage crops,,,,,
Division 01,12,128,"Growing of spices, aromatic, drug and pharmaceutical crops",,,,,
Division 01,12,129,Growing of other perennial crops,,,,,
Division 01,13,130,Plant propagation,,,,,
Division 01,14,140,Animal production,,,,,
Division 01,14,141,Raising of cattle and buffaloes,,,,,
Division 01,14,142,Raising of horses and other equines,,,,,
Division 01,14,143,Raising of camels and camelids,,,,,
Division 01,14,144,Raising of sheep and goats,,,,,
Division 01,14,145,Raising of swine/pigs,,,,,
Division 01,14,146,Raising of poultry,,,,,
Division 01,14,149,Raising of other animals,,,,,
Division 01,15,150,Mixed farming,,,,,
Division 01,16,160,Support activities to agriculture and post-harvest crop activities,,,,,
Division 01,16,161,Support activities for crop production,,,,,
Division 01,16,162,Support activities for animal production,,,,,
Division 01,16,163,Post-harvest crop activities,,,,,
Division 01,16,164,Seed processing for propagation,,,,,
Division 01,17,170,"Hunting, trapping and related service activities",,,,,
Division 02,20,200,Forestry and logging,,,,,
Division 02,21,210,Silviculture and other forestry activities,,,,,
Division 02,22,220,Logging,,,,,
Division 02,23,230,Gathering of non-wood forest products,,,,,
Division 02,24,240,Support services to forestry,,,,,
Division 27,270,270,Manufacture of electrical equipment,,,,,
Division 03,30,300,Fishing and aquaculture,,,,,
Division 03,31,310,Fishing,,,,,
Division 03,31,311,Marine fishing,,,,,
Division 03,31,312,Freshwater fishing,,,,,
Division 03,32,320,Aquaculture,,,,,
Division 03,32,321,Marine aquaculture,,,,,
Division 03,32,322,Freshwater aquaculture,,,,,
Division 05,50,500,Mining of coal and lignite,,,,,
Division 05,51,510,Mining of hard coal,,,,,
