"id","Code","Description","Color","Area_Type"
"1","AS","USA (AMERICAN SAMOA)","","EZ"
"2","AU","AUSTRALIA","","EZ"
"3","CK","COOK ISLANDS","","EZ"
"4","CN","CHINA","","EZ"
"5","FJ","FIJI","","EZ"
"6","FM","FEDERATED STATES OF MICRONESIA","","EZ"
"7","GL","GILBERT ISLANDS (KIRIBATI)","","EZ"
"8","GU","USA (GUAM)","","EZ"
"9","H4","International waters between Tuvalu, Phoenix and Tokelau, from the equator down to 10°S and east of 175°E to 170°W","BROWN","HS"
"10","H5","International waters between Phoenix and Line Groups, from the equator down to 10°S, east of 170°W to 155°W (excludes IW between CK and PF = Area ""I9"")","IRIDESCENT GREEN","HS"
"11","HB","USA (HOWLAND AND BAKER)","","EZ"
"12","HW","USA (HAWAII)","","EZ"
"13","I1","Doughnut hole between PNG and FSM","BLUE","HS"
"14","I2","Doughnut hole between FSM, Solomons, Kiribati, Marshall Is. Nauru, Tuvalu","RED","HS"
"15","I3","International waters east of the Philippines to Guam, above FSM, around Marshalls, up to 20°N and west of 175°E (not including areas I1, I2 and I8)","DARK GREEN","HS"
"16","I4","International waters east of Marshall Islands and Kiribati, from the equator up to 20°N and east of 175°E to 170°W","ORANGE","HS"
"17","I5","International waters around Line Group from the equator up to 20°N, east of 170°W to 150°W, and south of the equator to 20°S from 155°W-130°W","CRIMSON","HS"
"18","I6","The reminder of International waters not covered above in the Northern hemisphere of the WCP-CA","LIGHT BLUE","HS"
"19","I7","The reminder of International waters not covered above in the Southern hemisphere of the WCP-CA","LIGHT GREEN","HS"
"20","I8","International waters bordered by Fiji, Solomon Is and Vanuatu","PURPLE","HS"
"21","I9","International waters between the Cook Islands and French Polynesia","YELLOW","HS"
"22","ID","INDONESIA","","EZ"
"23","JP","JAPAN","","EZ"
"24","JT","USA (JOHNSTON)","","EZ"
"25","JV","USA (JARVIS)","","EZ"
"26","KI","KIRIBATI","","EZ"
"27","KR","REPUBLIC OF KOREA","","EZ"
"28","LN","LINE ISLANDS (KIRIBATI)","","EZ"
"29","MA","MATTHEW AND HUNTER (DISPUTED: FR & VU)","","EZ"
"30","MH","MARSHALL ISLANDS","","EZ"
"31","MP","NORTHERN MARIANA ISLANDS","","EZ"
"32","NC","FRANCE (NEW CALEDONIA)","","EZ"
"33","NF","NORFOLK (AUSTRALIA)","","EZ"
"34","NR","NAURU","","EZ"
"35","NU","NIUE","","EZ"
"36","NZ","NEW ZEALAND","","EZ"
"37","PF","FRANCE (FRENCH POLYNESIA)","","EZ"
"38","PG","PAPUA NEW GUINEA","","EZ"
"39","PH","PHILIPPINES","","EZ"
"40","PN","PITCAIRN","","EZ"
"41","PW","PALAU","","EZ"
"42","PX","PHOENIX (KIRIBATI)","","EZ"
"43","PY","USA (PALMYRA)","","EZ"
"44","SB","SOLOMON ISLANDS","","EZ"
"45","TK","TOKELAU","","EZ"
"46","TO","TONGA","","EZ"
"47","TV","TUVALU","","EZ"
"48","TW","CHINESE TAIPEI","","EZ"
"49","US","UNITED STATES OF AMERICA","","EZ"
"50","VU","VANUATU","","EZ"
"51","WF","FRANCE (WALLIS AND FUTUNA)","","EZ"
"52","WK","USA (WAKE)","","EZ"
"53","WS","SAMOA","","EZ"
