"currency_alphabetic_code","ISO3166-1-numeric"
"AED","784"
"AFN","4"
"ALL","8"
"AMD","51"
"ANG","531"
"AOA","24"
"ARS","32"
"AUD","36"
"AWG","533"
"AZN","31"
"BAM","70"
"BBD","52"
"BDT","50"
"BGN","100"
"BHD","48"
"BIF","108"
"BMD","60"
"BND","96"
"BOB","68"
"BRL","76"
"BSD","44"
"BWP","72"
"BYR","112"
"BZD","84"
"CAD","124"
"CHF","438"
"CLP","152"
"CNY","156"
"COP","170"
"CRC","188"
"CUP","192"
"CVE","132"
"CZK","203"
"DJF","262"
"DKK","208"
"DOP","214"
"DZD","12"
"EGP","818"
"ERN","232"
"ETB","231"
"EUR","20"
"FJD","242"
"FKP","238"
"GBP","831"
"GEL","268"
"GHS","288"
"GIP","292"
"GMD","270"
"GNF","324"
"GTQ","320"
"GYD","328"
"HKD","344"
"HNL","340"
"HRK","191"
"HUF","348"
"IDR","360"
"ILS","376"
"INR","64"
"IQD","368"
"IRR","364"
"ISK","352"
"JMD","388"
"JOD","400"
"JPY","392"
"KES","404"
"KGS","417"
"KHR","116"
"KMF","174"
"KPW","408"
"KRW","410"
"KWD","414"
"KYD","136"
"KZT","398"
"LAK","418"
"LBP","422"
"LKR","144"
"LRD","430"
"LYD","434"
"MAD","504"
"MDL","498"
"MGA","450"
"MKD","807"
"MMK","104"
"MNT","496"
"MOP","446"
"MRO","478"
"MUR","480"
"MVR","462"
"MWK","454"
"MXN","484"
"MYR","458"
"MZN","508"
"NGN","566"
"NIO","558"
"NOK","74"
"NPR","524"
"NZD","184"
"OMR","512"
"PEN","604"
"PGK","598"
"PHP","608"
"PKR","586"
"PLN","616"
"PYG","600"
"QAR","634"
"RON","642"
"RSD","688"
"RUB","643"
"RWF","646"
"SAR","682"
"SBD","90"
"SCR","690"
"SDG","729"
"SEK","752"
"SGD","702"
"SHP","654"
"SLL","694"
"SOS","706"
"SRD","740"
"SSP","728"
"STD","678"
"SYP","760"
"SZL","748"
"THB","764"
"TJS","762"
"TMT","795"
"TND","788"
"TOP","776"
"TRY","792"
"TTD","780"
"TWD","158"
"TZS","834"
"UAH","804"
"UGX","800"
"USD","16"
"UYU","858"
"UZS","860"
"VEF","862"
"VND","704"
"VUV","548"
"WST","882"
"XAF","120"
"XCD","660"
"XOF","204"
"XPF","258"
"YER","887"
"ZAR","426"
"ZMW","894"
"ZWL","716"
