"ID","ISSCAAP","TAXOCODE","3A_CODE","Scientific_name","English_name","Family","Author","Order","Stats_data","IMS_NAME"
"17","33","1703202702","RES","Lutjanus argentimaculatus","Mangrove red snapper","Lutjanidae","(Forsskål 1775)","PERCOIDEI","Yes",""
"18","33","1703202703","LJD","Lutjanus decussatus","Checkered snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","No",""
"19","33","1703202704","LJT","Lutjanus erythropterus","Crimson snapper","Lutjanidae","Bloch 1790","PERCOIDEI","No",""
"20","33","1703202705","LJF","Lutjanus fulviflamma","Dory snapper","Lutjanidae","(Forsskål 1775)","PERCOIDEI","No",""
"21","33","1703202706","LJV","Lutjanus fulvus","Blacktail snapper","Lutjanidae","(Forster 1801)","PERCOIDEI","No",""
"22","33","1703202707","LJH","Lutjanus johnii","John's snapper","Lutjanidae","(Bloch 1792)","PERCOIDEI","Yes",""
"23","33","1703202709","LJL","Lutjanus lutjanus","Bigeye snapper","Lutjanidae","Bloch 1790","PERCOIDEI","No",""
"24","33","1703202710","LJK","Lutjanus monostigma","One-spot snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","No",""
"25","33","1703202711","LUV","Lutjanus rivulatus","Blubberlip snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","No",""
"26","33","1703202713","MAL","Lutjanus malabaricus","Malabar blood snapper","Lutjanidae","(Bloch & Schneider 1801)","PERCOIDEI","Yes",""
"27","33","1703202714","LUB","Lutjanus sebae","Emperor red snapper","Lutjanidae","(Cuvier 1816)","PERCOIDEI","No",""
"28","33","1703202716","LUJ","Lutjanus vitta","Brownstripe red snapper","Lutjanidae","(Quoy & Gaimard 1824)","PERCOIDEI","Yes",""
"29","33","1703202717","LJN","Lutjanus analis","Mutton snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","Yes",""
"30","33","1703202718","LJP","Lutjanus apodus","Schoolmaster snapper","Lutjanidae","(Walbaum 1792)","PERCOIDEI","No",""
"31","33","1703202719","LJR","Lutjanus aratus","Mullet snapper","Lutjanidae","(Günther 1864)","PERCOIDEI","No",""
"32","33","1703202720","HUS","Lutjanus argentiventris","Yellow snapper","Lutjanidae","(Peters 1869)","PERCOIDEI","Yes",""
"33","33","1703202722","SNC","Lutjanus purpureus","Southern red snapper","Lutjanidae","Poey 1876","PERCOIDEI","Yes",""
"34","33","1703202724","LJU","Lutjanus buccanella","Blackfin snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","Yes",""
"35","33","1703202725","SNR","Lutjanus campechanus","Northern red snapper","Lutjanidae","(Poey 1860)","PERCOIDEI","Yes",""
"36","33","1703202726","LJC","Lutjanus colorado","Colorado snapper","Lutjanidae","Jordan & Gilbert 1882","PERCOIDEI","No",""
"37","33","1703202727","LJY","Lutjanus cyanopterus","Cubera snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","Yes",""
"38","33","1703202728","LJI","Lutjanus griseus","Grey snapper","Lutjanidae","(Linnaeus 1758)","PERCOIDEI","Yes",""
"39","33","1703202729","LJS","Lutjanus guttatus","Spotted rose snapper","Lutjanidae","(Steindachner 1869)","PERCOIDEI","Yes",""
"40","33","1703202730","LJJ","Lutjanus jocu","Dog snapper","Lutjanidae","(Bloch & Schneider 1801)","PERCOIDEI","No",""
"41","33","1703202731","LJM","Lutjanus mahogoni","Mahogany snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","No",""
"42","33","1703202732","LJW","Lutjanus novemfasciatus","Pacific dog snapper","Lutjanidae","Gill 1862","PERCOIDEI","No",""
"43","33","1703202733","SNL","Lutjanus synagris","Lane snapper","Lutjanidae","(Linnaeus 1758)","PERCOIDEI","Yes",""
"44","33","1703202734","LTJ","Lutjanus vivanus","Silk snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","Yes",""
"45","33","1703202735","LJA","Lutjanus agennes","African red snapper","Lutjanidae","Bleeker 1863","PERCOIDEI","No",""
"46","33","1703202736","LJE","Lutjanus dentatus","African brown snapper","Lutjanidae","(Duméril 1861)","PERCOIDEI","No",""
"47","33","1703202738","SNU","Lutjanus russelli","Russell's snapper","Lutjanidae","(Bleeker 1849)","PERCOIDEI","Yes",""
"48","33","1703202739","LJO","Lutjanus goreensis","Gorean snapper","Lutjanidae","(Valenciennes 1830)","PERCOIDEI","No",""
"49","33","1703202742","LJB","Lutjanus bohar","Two-spot red snapper","Lutjanidae","(Forsskål 1775)","PERCOIDEI","Yes",""
"50","33","1703202745","LJG","Lutjanus gibbus","Humpback red snapper","Lutjanidae","(Forsskål 1775)","PERCOIDEI","Yes",""
"51","33","1703202747","LUF","Lutjanus rufolineatus","Yellow-lined snapper","Lutjanidae","(Valenciennes 1830)","PERCOIDEI","No",""
"52","33","1703202748","LVN","Lutjanus fulgens","Golden African snapper","Lutjanidae","(Valenciennes 1830)","PERCOIDEI","No",""
"53","33","1703202749","LDW","Lutjanus adetii","Yellow-banded snapper","Lutjanidae","(Castelnau 1873)","PERCOIDEI","No",""
"54","33","1703202750","LVK","Lutjanus kasmira","Common bluestripe snapper","Lutjanidae","(Forsskål 1775)","PERCOIDEI","Yes",""
"55","33","1703202751","LWL","Lutjanus lemniscatus","Yellowstreaked snapper","Lutjanidae","(Valenciennes 1828)","PERCOIDEI","No",""
"56","33","1703202752","LWT","Lutjanus timorensis","Timor snapper","Lutjanidae","(Quoy & Gaimard 1824)","PERCOIDEI","No",""
"57","33","1703202753","LWQ","Lutjanus quinquelineatus","Five-lined snapper","Lutjanidae","Bloch 1970","PERCOIDEI","Yes",""
"58","33","1703202754","LWN","Lutjanus coeruleolineatus","Blueline snapper","Lutjanidae","(Rüppell 1838)","PERCOIDEI","No",""
"59","33","1703202755","LWE","Lutjanus ehrenbergii","Blackspot snapper","Lutjanidae","(Peters 1869)","PERCOIDEI","No",""
"60","33","1703202756","LVG","Lutjanus goldiei","Papuan black snapper","Lutjanidae","(Macleay 1882)","PERCOIDEI","Yes",""
"61","33","1703202757","LWP","Lutjanus peru","Pacific red snapper","Lutjanidae","(Nichols & Murphy 1922)","PERCOIDEI","Yes",""
"62","33","1703202758","LWJ","Lutjanus jordani","Jordan's snapper","Lutjanidae","(Gilbert 1898)","PERCOIDEI","No",""
"63","33","1703202759","LZJ","Lutjanus sanguineus","Humphead snapper","Lutjanidae","Cuvier 1828","PERCOIDEI","No",""
"64","33","1703202760","QFM","Lutjanus endecacanthus","Guinea snapper","Lutjanidae","Bleeker 1863","PERCOIDEI","No",""
"65","33","1703202761","QIT","Lutjanus bengalensis","Bengal snapper","Lutjanidae","(Bloch 1790)","PERCOIDEI","No",""
"66","33","1703202762","QIU","Lutjanus lunulatus","Lunartail snapper","Lutjanidae","(Park 1797)","PERCOIDEI","No",""
"67","33","1703202763","QKU","Lutjanus notatus","Bluestriped snapper","Lutjanidae","(Cuvier 1828)","PERCOIDEI","No",""
"68","33","1703202764","QGM","Lutjanus stellatus","Star snapper","Lutjanidae","Akazaki 1983","PERCOIDEI","No",""
"69","33","1703202801","SNY","Ocyurus chrysurus","Yellowtail snapper","Lutjanidae","(Bloch 1791)","PERCOIDEI","Yes",""
"70","33","1703210101","ASX","Apsilus dentatus","Black snapper","Lutjanidae","Guichenot 1853","PERCOIDEI","Yes",""
"71","33","1703210102","AFK","Apsilus fuscus","African forktail snapper","Lutjanidae","Valenciennes 1830","PERCOIDEI","Yes",""
"72","33","1703210301","LIR","Lipocheilus carnolabrum","Tang's snapper","Lutjanidae","(Chan 1970)","PERCOIDEI","No",""
"73","33","1703211201","LRC","Paracaesio caerulea","Japanese snapper","Lutjanidae","(Katayama 1934)","PERCOIDEI","No",""
"74","33","1703211202","LRG","Paracaesio gonzalesi","Vanuatu snapper","Lutjanidae","Fourmanoir & Rivaton 1979","PERCOIDEI","No",""
"75","33","1703211203","LRK","Paracaesio kusakarii","Saddle-back snapper","Lutjanidae","Abe 1960","PERCOIDEI","No",""
"76","33","1703211204","LRX","Paracaesio xanthura","Yellowtail blue snapper","Lutjanidae","(Bleeker 1869)","PERCOIDEI","No",""
"77","33","1703211205","LWR","Paracaesio stonei","Cocoa snapper","Lutjanidae","Raj & Seeto 1983","PERCOIDEI","No",""
"78","33","1703214001","EEO","Etelis oculatus","Queen snapper","Lutjanidae","(Valenciennes 1828)","PERCOIDEI","Yes",""
"79","33","1703214002","ETA","Etelis carbunculus","Deep-water red snapper","Lutjanidae","Cuvier 1828","PERCOIDEI","No",""
"80","33","1703214004","ETC","Etelis coruscans","Deepwater longtail red snapper","Lutjanidae","Valenciennes 1862","PERCOIDEI","No",""
"81","33","1703214005","EEW","Etelis radiosus","Pale snapper","Lutjanidae","Anderson 1981","PERCOIDEI","No",""
"82","33","1703217701","MLN","Macolor niger","Black and white snapper","Lutjanidae","(Forsskål 1775)","PERCOIDEI","No",""
"83","33","1703221710","LWZ","Pristipomoides zonatus","Oblique-banded snapper","Lutjanidae","(Valenciennes 1830)","PERCOIDEI","No",""
"84","33","1703221711","UPZ","Pristipomoides macrophthalmus","Cardinal snapper","Lutjanidae","(Müller & Troschel 1848)","PERCOIDEI","Yes",""
"85","33","1703222501","RPU","Rhomboplites aurorubens","Vermilion snapper","Lutjanidae","(Cuvier 1829)","PERCOIDEI","Yes",""
"86","33","1703235901","HLG","Hoplopagrus guentherii","Mexican barred snapper","Lutjanidae","Gill 1862","PERCOIDEI","Yes",""
"87","33","1703236001","RAI","Randallichthys filamentosus","Randall's snapper","Lutjanidae","(Fourmanoir 1970)","PERCOIDEI","No",""
"88","33","1703237001","SJS","Symphorichthys spilurus","Sailfin snapper","Lutjanidae","(Günther 1874)","PERCOIDEI","No",""
"89","33","17032027XX","SNA","Lutjanus spp","Snappers nei","Lutjanidae","","PERCOIDEI","Yes",""
"90","33","17032XXXXX","SNX","Lutjanidae","Snappers, jobfishes nei","Lutjanidae","","PERCOIDEI","Yes","Snapper"
