"VID","VESSEL_TYPE","VESSEL_NAME","IRCS","FLAG_STATE","VSL_FLAG_REG_NUM","GRT","LENGTH","COUNTRY_BUILT","SPEED","YEAR_BUILT","CREW_COUNT","ENGINE_POWER","POWER_UNITS","FUEL_CAPACITY","SATELLITE_COMMS","BRINE","BLAST","COILS","DAILY_CAPACITY","ICE","SEA","BRINE2","AIR","STORAGE_CAPACITY","CHANGE_DETECTED","NOTES","CREATED_BY_USER_ID","CREATED_DATETIME","UPDATED_BY_USER_ID","UPDATED_DATETIME","CONTACTS_FAX","CONTACTS_PHONE","CONTACTS_EMAIL","APPROVED_ALC","INMARSAT_NUMBER","RL_LENGTH","LP_LENGTH","ENGINE_MODEL","STORAGE_CAP_UNITS_CODE","MMSI_NUMBER","PORT_REGISTRY_ID","REGISTERED_DATE","DEREGISTERED_DATE","PARALLEL_REG_CODE","BUILDER_NAME","NET_TONNAGE","DEAD_WEIGHT","MOULDED_DEPTH","BEAM","IMO","WCPFC_ID"
"33166","Troll","PETAJ","GX558","AU","51444","164.0000","34.0000","AU","10.0000","1943","4","420.0000","","85.0000","1","0","0","0","","0","0","0","0","","0","","REG_DEV","23/2/1996 11:45:24","BRENDAR","8/5/2002 09:40:35","","","","","","","","","","","","","","","","","","","","",""
"35027","Longline","SEA BIRD","WDA3388","US","1047746","603.0000","53.8000","US","10.0000","1944","14","1000.0000","","235.0000","0","","","","5.0000","1","","","1","452.0000","0","","TUPOUF","2/4/2003 14:22:03","REG_DEV","30/11/2003 19:59:41","872-762-642-167","872-762-642-165","433815410@stratosmobile.net","","","","","","CM","","","","","","","","","","","",""
"35720","Longline","GRACE 1","E5U2210","CK","1294","128.0000","28.5000","US","7.0000","1945","7","512.0000","","37.8000","0","","","","","","","","1","80.0000","0","LOA forwarded from Roseti and Colin Brown - MCSWG16","GINIA.HAROLD","12/6/2008 10:30:58","REG_DEV","25/6/2013 17:43:08","684-6334253","684-7331285","soodongkim@gmail.com","1","436900845","","","CATERPILLAR","MT","518260000","870","","","","Ira S Bushey & Son, Inc","87.0000","","93.5000","25.15","7436753","9037"
"34613","Longline","PACIFIC SHORES","WBID","US","603879","462.0000","38.0000","US","8.0000","1945","8","343.0000","","90.0000","0","1","0","0","10.0000","0","0","0","1","300.0000","0","","CECILIAN","14/3/2001 08:23:22","REG_DEV","30/11/2003 19:59:38","","","","","","","","","CM","","","","","","","","","","","",""
"32587","Longline","CEREGO","ZM4217","NZ","4779","51.1200","20.5400","AU","9.0000","1945","4","354.0000","","6.1000","0","0","1","0","1.3000","0","0","0","1","15.0000","0","","REG_DEV","23/2/1996 11:44:06","REG_DEV","30/11/2003 19:59:36","","","","","","","","","CM","","","","","","","","","","","",""
"32674","Fish Carrier","JOHN FRANKLIN","H4LL","AU","174388","120.1100","25.9000","AU","9.0000","1947","12","230.0000","","12.0000","0","1","1","0","4.0000","0","0","0","1","4.0000","0","","REG_DEV","23/2/1996 11:44:20","REG_DEV","30/11/2003 19:59:36","","","","","","","","","CM","","","","","","","","","","","",""
"35103","Troll","POWERFUL VIKING","ZKVK","CK","1052","383.0000","46.0000","NO","9.0000","1952","13","675.0000","","132.3000","0","","","","","","","","1","160.0000","0","JIG-TROLLER
200 TEST","ALISAV","18/9/2003 09:03:27","SENOVEVAM","24/10/2006 15:49:08","604 940 6833","604 940 6815","launa@leaderfishing.com","1","457646510","41.6997","","6M Diesel","CM","","","","","","","","","","","",""
"33486","Longline","NEW STAR 1","HQFO2","PA","MD459","284.7900","43.3500","JP","13.0000","1953","23","1000.0000","","285.0000","0","0","1","1","20.0000","0","0","0","0","507.0000","0","FORMER FLAG REGISTRATION:  ""HONDURAS""
OLD FLAG REG. #:  ""L-1923167""","CECILIAN","12/4/1996 15:43:11","REG_DEV","30/11/2003 19:59:36","","","","","","","","","CM","","","","","","","","","","","",""
"33680","Net Boat","CONCORD I","DUNF","PH","010376","94.7200","26.8900","JP","8.0000","1955","22","500.0000","","1200.0000","0","0","0","0","","0","0","0","1","53.5400","0","","CECILIAN","2/6/1997 14:21:52","REG_DEV","30/11/2003 19:59:38","","","","","","","","","CM","","","","","","","","","","","",""
"35061","Troll","WALLODA","ZKVL","CK","CI 96/10","261.9100","41.8500","DE","9.0000","1955","6","900.0000","","130.0000","0","","","","5.0000","","","","1","130.0000","0","","TUPOUF","23/5/2003 15:11:23","GINIA.HAROLD","7/3/2006 13:03:30","679 6520928","679 9246339","bjorckfj@yahoo.com","1","451800015","40.06","","GREENA F26T","MT","","","","","","","","","","","",""
